action,cost,type,requiredFeatName,description
Move,1,action,,Move up to speed.
Attack,1,action,,Each subsequent attack imposes a Multiple Attack Penalty (MAP) which is an attack penalty of -2/-4 and so on to hit.
Draw/Holster,1,action,,Draw or holster any item
Use Item,1,action,,Apply stims or combat drugs or similar item
Change Stance,1,action,,Prone/Stand/Crouch
Reload (simple),1,action,,Reload Weapon or clear simple jam
Take Cover,1,action,,"Gives either cover, or heavy cover condition."
Hide,1,action,,Successful stealth roll makes you hidden from enemy.
Aim,1,action,Take Aim,+1 to hit
Identify Enemy,1,action,Keen Eye,"Identify enemy, Recon 8+ or relevant skill (any markings, factions, weapons, feats, or skills of enemy etc...)"
Reload (complex),2,action,,"Reload more complex weapons, or clear complex jams"
First Aid,2,action,,"Provides first aid to someone during combat. Treats a light wound, also cures bleed, also heals/damage target for medic roll effect. Requires medical kit and a successful DM+8 medic roll."
Disengage,2,action,Disengage,Moves away from enemy without triggering attack of opportunity
Inspiring Speech,2,action,Inspiring Speech,One ally (including self) who can hear you receives a boon die.
Called Shots,2,action,Called Shot,"Target specific hit location (head, hands, legs)"
Grapple,2,action,Grapple,"Makes athletics or melee attack against target. On success, target becomes grabbed until end of your next turn. Crit, target becomes restrained. On crit fail, target escapes and grabs you instead. Subject to MAP."
Disarm,2,action,Disarm,"Makes an attack roll against target. On success, makes target loose any held item, and drop on ground. If crit, you can pick up item or choose where the item lands (up to 6m). If crit fail, you drop your weapon. Subject to MAP."
Charge,2,action,Charge,"Move & attack, gives a +2 to attack roll"
Combat Hack,2,action,Combat Hack,Can hack any electronic object/enemy at distance (30m). Choose one<br>- Turn object to your side (DM 10+)<br>- Turn object off (DM 8+)<br>- Make object run away (DM 8+)
Combat Sprint,2,action,Combat Sprint,"Move 2x, and give Dodge condition"
Controlled Burst,2,action,Controlled Burst,"Choose One: <br> - Ignore Cover, or turn Heavy Cover -> Cover <br> - Give a +2 to attack roll, and +2 to damage."
Overwatch,2,action,Overwatch,Requires Auto X. Attacks all enemies in that area when they enter or end their turn in the area (subject to ammo constraints). No MAP.
Full Auto Attack,3,action,Sustained Fire,"3x ammo usage, attacks equal to Auto score, no MAP until after all attacks are made."
Called Shot (Advanced),3,action,Called Shot (Adv.),"Target specific hit location (head, hands, legs, or Vitals)"
Suppressive Fire,3,action,,"Targets a 6x6 meters area, any enemy who remains in the area suffers -1 DM to all actions. If enemy is out of cover, suffers an attack by the player subject to a -1 DM, at end of enemy turn."
Dive For Cover,0,reaction,Dive for Cover,"Dive up to 2x (Athletics skill) meters to any nearby area, if diving behind cover, also counts as take cover action. Has to be standing."
Parry,0,reaction,Duelist,"In close combat, apply melee skill as negative DM to attack roll."
Attack of Opportunity,0,reaction,Opportunist,"Attack any enemy trying to run away from character form melee range. Requires an available reaction, has to make attack with one handed ranged weapon, or melee weapon."
