name,description
Dazzled,"You are overstimulated, and vision blurry. Everything is ""Hidden"" to you."
Blinded,"Can't see. Critically fail all attempts requiring vision. Move half speed. Overwrites Dazzled."
Unconscious,"When unconscious you can not act. The only action available to you is to wake up requiring a 8+ END check."
Stunned X,"You become senseless. You can't act. X represents how many actions you loose. So Stunned 4, means you loose 1 round, and then the 1st action next round."
Bleeding,"Takes 1 in damage at the start of every round."
Hobbled,"Move half speed."
Fatigued X,"Gives -X to all characteristics."
Fire,"Target takes d6 damage at end of turn, ignore armor (unless outer layer equipped). Can put out fire with END DM6+"
Confusion,"Make target ""off guard"", and will attack random target (hostile or ally)"
Flanked,"Make target ""off guard"""
Off-guard,"Any hostile actions towards you get one easier degree of difficulty, for example average DM 8+ -> easy DM 6+"
Dodge,"Any attacks toward suffer a -1 or -DEX mod to hit, whichever is higher."
Cover,"Makes attacks targeting you one degree harder. Gives +4 Armor."
Heavy Cover,"Makes attacks targeting you two degree harder. Gives +8 Armor."
Hidden,"Enemy can't see you. Enemies you are hidden to are off guard."
Grabbed,"You become off-guard, and immobilized"
Restrained,"You become off-guard, and immobilized, and you can't take any actions other then trying to escape."
Immobilized,"You can not move."
