name,cost,category,type,trait,weaponClassification,description,tl,dmg,armor,mag,range
Wasp,5000,Drone,Recon,Uncommon,0,Palm-sized rotor drone with thermal and visial optics and laser-designator.,8,,2,,2km
G19,1000,Slug,Pistol,"Auto 2, Common",2,"A compact polymer-framed automatic pistol firing high-velocity caseless rounds. Lightweight, high-capacity, and the default sidearm for a dozen planetary militias and private security firms.",8,2D,,15,50
M1911,100,Slug,Pistol,"AP 1, Common",1,"An ancient semi-automatic design chambered in heavy slug. Underpowered by modern standards, but its stopping power and legendary reliability keep it in circulation two thousand years after its invention.",6,3D,,8,20
AK47,1000,Slug,Rifle,"Auto 3, Unreliable, Common",2,"The immortal rifle. Crude, loud, and virtually indestructible, this gas-operated assault rifle has been copied, smuggled, and buried in desert caches across every inhabited world.",6,3D+3,,30,100
M16,5000,Slug,Rifle,"Auto 3, AP 2, Uncommon",3,"A lightweight, accurate assault rifle with a direct-impingement system and integrated optics rail. Favored by professional soldiers who value precision over volume of fire.",10,3D,,20,300
MG-3,10000,Heavy,Machinegun,"Auto 4, Complex Reload, Heavy, Uncommon",3,"A belt-fed medium machine gun with a terrifying rate of fire. Requires a crew or a strong mount to control, but lays down suppressive fire that keeps entire squads hugging the dirt.",7,3D,,100,300
RPG-7,10000,Heavy,Launcher,"Complex Reload, Explosive 2, Heavy, Common, Unreliable",3,"A reusable, unguided rocket-propelled grenade launcher. Simple enough to train conscripts in an afternoon and powerful enough to ruin a scout car's entire day.",8,5D,,1,10
Semtex,500,Explosive,Grenade,"Explosive 3, Uncommon",3,"A moldable, stable high-explosive compound. Can be shaped, packed, or thrown. Detonates with appalling force and is the go-to choice for demolition work and improvised traps.",8,4D,,1,20
Flashbang,500,Explosive,Grenade,"Explosive 3, Stun, Uncommon",2,"A non-lethal stun grenade that emits a blinding flash and deafening bang. Clears rooms, disorients hostiles, and guarantees ringing ears for everyone involved.",8,3D,,1,20
Shock Baton,1000,Melee,Bludgeon,"Stun, Uncommon",1,"A weighted truncheon with a capacitor in the striking head. Delivers a disabling electric charge on impact, popular with police, port authority, and bounty hunters who prefer live cargo.",10,2D,,,
Sledgehammer,1000,Melee,Bludgeon,"Heavy, Common",0,"A long-handled industrial hammer repurposed for close-quarters mayhem. Slow to swing, but it ignores light armor and solves problems with finality.",4,2D6-1,,,
Cutlass,1000,Melee,Blade,"AP 1, Common",1,"A short, heavy curved blade designed for shipboard fighting. In the tight corridors of a starship, where a missed shot could decompress the compartment, cold steel is often the wiser choice.",6,2D,,,
Combat Knife,1000,Melee,Blade,"AP 1, Common",1,"A sturdy, balanced fighting knife with a partial serrated edge. Every soldier carries one, and in the right hands it is as deadly as any firearm at arm's length.",6,2D+1,,,
Static Blade,10000,Melee,Blade,"AP 5, Rare",3,A high-tech combat knife with a monofilament edge sheathed in a disruptive energy field. Cuts through advanced composites and personal armor with disturbing ease.,12,3D,,,
Medkit Mk1,5000,Drugs,Healing,Common,0,Standard medkit found around the galaxy! Common and relatively cheap all thigns considered. Allows you to use the action First Aid.,8,,,,
Combat Stims,10000,Drugs,Healing,Uncommon,1,"Combat stims are used when an extra boost is required to get your through the action! Some people say its mostely painkillers and amphetamines, but it does the job! You get a +4 to any characteristic for 1 minute (6 rounds), careful doing to many of these!",10,,,,
Standard Vacc Suit,10000,Armor,Outer,"Uncommon, Vac Suit 1",1,"The classic hard-shell vac suit. Provides air support, radiation shielding, and enough maneuverability to patch a hull or repel boarders. Bulky and unmistakably industrial.",7,,6,,
Thermal Regulation Skinsuit,1000,Armor,Bottom,Common,0,A form-fitting base layer that maintains core body temperature from ?40°C to 60°C. Wicks away moisture and prevents hypothermia in vacuum leaks.,8,,0,,
Impact Gel Undersuit,5000,Armor,Bottom,Uncommon,1,"A compression bodysuit lined with shear-thickening gel that hardens on impact. Worn beneath other armor, it absorbs blunt force, falls, and concussive trauma that would otherwise shatter bone.",10,,2,,
Flak Vest,10000,Armor,Top,Uncommon,2,"A rigid torso plate of layered ceramic and ballistic fiber. Uncomfortable and heavy, but proven protection against fragments, shrapnel, and low-velocity projectiles.",8,,4,,
Ballistic Cloth Jacket,5000,Armor,Top,"Uncommon, Concealable",2,A heavy coat woven with impact-resistant polymer threads. Passes for civilian wear while turning small-caliber rounds and blade thrusts into bruises rather than wounds.,8,,4,,
