name,type,description,color
Heavy,Weapon,"Heavy weapons require 10+ STR modifier to wield effortlessly. Otherwise, -4 to all attacks.",#420D09
Super Heavy,Weapon,"Heavy weapons require 12+ STR modifier to wield effortlessly. Otherwise, -6 to all attacks.",#420D09
Auto X,Weapon,Allows for Full Auto Attack action.,#420D09
Concealable,Weapon,Gives +2 to conceal any equipment form any search electronic or physical.,#420D09
Vac Suit X,Weapon,"Works in space, contains life support. X is the life support x12, so Vac Suit 2 is 24hrs of life support.",#420D09
Zero-G,Weapon,"Weapon does not produce any recoil, can be used in <0.1g without any noticeable problems.",#420D09
Complex Reload,Weapon,Requires a complex reload skill to reload weapon in combat.,#420D09
Normal,NPC,The most common form of NPC encountered. Regular goons. Will have 1-2 special features.,#420D09
Elite,NPC,"Slightly more rare to encounter. They are upgraded goons, police sergeants, or sicarios. Will have between 1-5 features.",#420D09
Legendary,NPC,"Very unique NPC's, usually vital to the story. Represents strong opponents, capable of outstanding feats. Can have any number of unique features attached.",#420D09
Small,NPC,Targeting Small creatures give a -1 DM to hit,#420D09
Medium,NPC,Average sized creature,#420D09
Large,NPC,Targeting Large creatures give a +1 DM to hit,#420D09
Ancient,NPC,A creation of the Ancients.,#420D09
Walker,NPC,"This creature is a walker, it walks on two legs.",#420D09
Star Port A,System,"Full facilities: shipyards, high-end services, naval bases, and interstellar banking.",#420D09
Star Port B,System,"Good quality: capable of construction and repair, with solid amenities and regular traffic.",#420D09
Star Port C,System,"Routine quality: unrefined fuel, supplies, and unskilled repair; often a frontier waystation.",#420D09
Star Port D,System,"Poor quality: little more than a marked landing zone, unrefined fuel, and a radio.",#420D09
No Star Port,System,No facilities whatsoever; land at your own risk with no support.,#420D09
Planet,System,"A standard terrestrial world with gravity, atmosphere, and a solid surface.",#420D09
Empty Space,System,"Nothing but void; no planet, station, or feature—just coordinates in the black.",#420D09
Space Station,System,An artificial habitat or platform orbiting a body or drifting free.,#420D09
Asteroid,System,"A rocky body, often mined, hollowed out, or barely large enough to land on.",#420D09
Rouge Planet,System,"A sunless world cast adrift between stars, frozen and lightless.",#420D09
Polluted,System,"Contaminated atmosphere, water, or soil; filters and hazard gear required.",#420D09
Acid Rain,System,Corrosive precipitation that eats unprotected hull plating and flesh alike. Requires specialised hull plating and vac suits to withstand the corrosive effect.,#420D09
Stormwracked,System,Wracked by permanent extreme weather; habitation is underground or shielded.,#420D09
Dust Storm,System,"Seasonal or perpetual particulate storms scour the surface, grounding aircraft and clogging every vent and seal.",#420D09
Orbital Debris,System,A dense shell of wreckage and fragmented satellites makes approach hazardous; shields and careful navigation are mandatory.,#420D09
Dangerous Wildlife,System,"Native fauna is aggressively predatory, venomous, or territorial; outside the walls, you are prey.",#420D09
